"CodigocompletoDane","MPIO","ano","poblacion","codigoanodane","cienmilhabitantes"
"25151000","Caqueza","2005",16442,"200525151000",0.016442
"25154000","Carmen de Carupa","2005",8491,"200525154000",0.008491
"25168000","Chaguaní","2005",4101,"200525168000",0.004101
"25175000","Chía","2005",97896,"200525175000",0.097896
"25178000","Chipaque","2005",8395,"200525178000",0.008395
"25181000","Choachí","2005",11165,"200525181000",0.011165
"25183000","Chocontá","2005",19512,"200525183000",0.019512
"25200000","Cogua","2005",18276,"200525200000",0.018276
"25214000","Cota","2005",19909,"200525214000",0.019909
"25224000","Cucunubá","2005",7013,"200525224000",0.007013
"25245000","El Colegio","2005",20430,"200525245000",0.02043
"25258000","El Peñón","2005",4977,"200525258000",0.004977
"25260000","El Rosal","2005",13502,"200525260000",0.013502
"25269000","Facatativá","2005",107452,"200525269000",0.107452
"25279000","Fomeque","2005",12157,"200525279000",0.012157
"25281000","Fosca","2005",6654,"200525281000",0.006654
"25286000","Funza","2005",61380,"200525286000",0.06138
"25288000","Fúquene","2005",5214,"200525288000",0.005214
